Player,Team,Offensive Archetype,Age,Exp,GP,Minutes,MPG,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR
Marina Mabrey,CON,Ball Handler,29,6,35,"1,103",31.5,-2.11,-0.08,-2.02,-0.1
Rickea Jackson,LAS,Shooter,24,1,38,"1,173",30.9,-2.13,-0.14,-1.99,-0.1
Saniya Rivers,CON,Ball Handler,22,R,42,"1,097",26.1,-2.15,-1.13,-1.02,-0.1
Kiah Stokes,LVA,Stretch Big,32,9,46,525,11.4,-2.15,-3.33,1.18,-0.1
Sug Sutton,WAS,Ball Handler,26,3,43,"1,122",26.1,-2.22,-1.89,-0.33,-0.2
Stephanie Talbot,NYL,Shooter,31,6,39,549,14.1,-2.24,-1.64,-0.6,-0.1
Haley Peters,CON,Stretch Big,33,3,33,380,11.5,-2.25,-1.78,-0.47,-0.1
Kyara Linskens,FA,Low Minute,28,R,4,27,6.7,-2.27,-1.81,-0.46,0
Alysha Clark,WAS,Athletic Finisher,38,12,42,828,19.7,-2.28,-2.16,-0.13,-0.1
Marquesha Davis,FA,Low Minute,24,1,11,52,4.7,-2.3,-1.76,-0.54,0
Kyra Lambert,FA,Low Minute,28,R,1,0,0.1,-2.35,-1.27,-1.08,0
Ajae Petty,DAL,Low Minute,23,R,2,6,3.2,-2.4,-1.79,-0.61,0
Shatori Walker-Kimbrough,ATL,Shooter,30,8,43,360,8.4,-2.43,-2.74,0.31,-0.1
Shey Peddy,IND,Shooter,36,5,23,394,17.1,-2.43,-1.52,-0.91,-0.1
Julie Vanloo,LAS,Shooter,32,1,35,449,12.8,-2.46,-1.71,-0.75,-0.1
Serena Sundell,FA,Low Minute,23,R,3,22,7.2,-2.49,-1.87,-0.61,0
Alexis Prince,FA,Low Minute,31,3,1,22,22.1,-2.54,-1.83,-0.72,0
Mercedes Russell,FA,Low Minute,30,7,20,163,8.2,-2.56,-2.78,0.22,-0.1
Sika Kon̩,ATL,Low Minute,23,2,21,88,4.2,-2.58,-2.23,-0.35,0
Sania Feagin,LAS,Low Minute,22,R,16,77,4.8,-2.59,-2.32,-0.28,0
Kiana Williams,PHO,Low Minute,26,3,12,110,9.1,-2.61,-1.37,-1.23,0
Sevgi Uzun,CHI,Ball Handler,27,1,25,440,17.6,-2.64,-1.89,-0.75,-0.2
Christyn Williams,DAL,Low Minute,25,R,4,45,11.2,-2.66,-1.89,-0.78,0
Megan McConnell,FA,Low Minute,23,R,1,13,12.6,-2.73,-1.63,-1.1,0
Hailey Van Lith,CHI,Ball Handler,24,R,29,361,12.4,-2.73,-2.08,-0.65,-0.2
Damiris Dantas,IND,Versatile Big,32,9,38,439,11.5,-2.74,-0.67,-2.07,-0.2
Kariata Diaby,FA,Low Minute,30,R,13,103,8,-2.78,-2.7,-0.08,-0.1
Lucy Olsen,WAS,Athletic Finisher,22,R,41,508,12.4,-2.8,-1.06,-1.74,-0.2
Kennedy Burke,NYL,Shooter,28,5,39,832,21.3,-2.82,-1.27,-1.54,-0.4
Mamignan Tour̩,CON,Low Minute,30,R,18,147,8.2,-2.82,-2.26,-0.56,-0.1
Karlie Samuelson,FA,Shooter,30,6,16,228,14.2,-2.85,-1.68,-1.17,-0.1
Tina Charles,CON,Post Scorer,36,13,43,"1,222",28.4,-2.86,-0.31,-2.55,-0.6
Murjanatu Musa,FA,Low Minute,25,R,12,122,10.1,-2.92,-1.65,-1.27,-0.1
Liatu King,FA,Low Minute,23,R,14,136,9.7,-2.97,-2.15,-0.81,-0.1
Sarah Ashlee Barker,LAS,Shooter,24,R,34,481,14.1,-3.02,-2.39,-0.64,-0.3
Sydney Colson,IND,Ball Handler,36,10,31,425,13.7,-3.04,-2.65,-0.4,-0.3
Jaelyn Brown,FA,Low Minute,26,1,10,131,13.1,-3.06,-2.41,-0.65,-0.1
Lexi Held,PHO,Ball Handler,25,R,33,475,14.4,-3.08,-1.77,-1.31,-0.3
Rebecca Allen,CHI,Athletic Finisher,32,9,44,821,18.7,-3.1,-2.46,-0.64,-0.6
Kamiah Smalls,FA,Low Minute,27,2,3,3,1.1,-3.11,-1.71,-1.39,0
Michaela Onyenwere,CHI,Shooter,26,4,42,711,16.9,-3.11,-2.37,-0.74,-0.5
Jacy Sheldon,WAS,Shooter,25,1,30,708,23.6,-3.12,-1.48,-1.64,-0.5
Diamond Miller,DAL,Athletic Finisher,24,2,41,435,10.6,-3.15,-1.8,-1.35,-0.3
Dana Evans,LVA,Ball Handler,27,4,52,925,17.8,-3.15,-0.65,-2.5,-0.6
Taylor Thierry,ATL,Low Minute,22,R,18,38,2.1,-3.16,-2.02,-1.14,0
Bria Hartley,CON,Ball Handler,32,9,38,867,22.8,-3.19,-1.17,-2.02,-0.6
Kitija Laksa,PHO,Shooter,29,R,34,631,18.6,-3.2,-1.45,-1.75,-0.5
Lindsay Allen,CON,Ball Handler,30,7,31,450,14.5,-3.24,-2.06,-1.18,-0.3
Megan Gustafson,LVA,Shooter,28,6,26,285,11,-3.24,-1.77,-1.47,-0.2
Jade Melbourne,WAS,Shooter,23,2,43,"1,008",23.4,-3.27,-2.26,-1.02,-0.8
Joyner Holmes,FA,Low Minute,27,5,6,29,4.8,-3.4,-1.82,-1.58,0
Rachel Banham,CHI,Shooter,32,9,44,"1,081",24.6,-3.41,-1.19,-2.22,-0.9
Aaliyah Nye,LVA,Shooter,23,R,47,681,14.5,-3.42,-1.62,-1.81,-0.6
Jaylyn Sherrod,MIN,Low Minute,23,1,28,147,5.2,-3.45,-2.28,-1.17,-0.1
Crystal Bradford,FA,Low Minute,31,2,4,24,6,-3.46,-1.71,-1.74,0
Kaitlyn Chen,GSV,Shooter,23,R,25,251,10,-3.46,-2.34,-1.13,-0.2
Anastasiia Kosu,MIN,Low Minute,20,R,25,88,3.5,-3.49,-1.6,-1.89,-0.1
Alissa Pili,LAS,Low Minute,24,1,20,100,5,-3.63,-2.19,-1.44,-0.1
Cheyenne Parker-Tyus,LVA,Low Minute,33,10,7,49,6.9,-3.75,-1.83,-1.92,-0.1
Yvonne Anderson,FA,Low Minute,35,1,1,12,12.4,-3.8,-1.87,-1.93,0
Tiffany Mitchell,SEA,Shooter,31,9,40,521,13,-3.83,-2.97,-0.87,-0.6
Camryn Taylor,MIN,Low Minute,25,R,8,26,3.3,-3.86,-1.9,-1.97,0
Mari̬me Badiane,FA,Low Minute,30,R,3,11,3.6,-3.92,-1.89,-2.04,0
Mackenzie Holmes,SEA,Low Minute,24,R,11,63,5.8,-4.23,-2.73,-1.5,-0.1
Kia Nurse,CHI,Shooter,29,6,44,962,21.9,-4.37,-1.79,-2.58,-1.3
Elizabeth Kitley,FA,Low Minute,24,R,12,98,8.2,-4.58,-3.54,-1.04,-0.2
Zia Cooke,SEA,Shooter,24,2,27,268,9.9,-4.8,-2.27,-2.52,-0.4
